epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,1373,0.78524,0.93557,0.95144,0.99374,0.99697,0.995,0.73459,0.82024,0.95964,0.89393,0.000269721,0.000269721,0.000269721
129,1382.22,1.10131,1.1974,1.07349,0.99374,0.99697,0.995,0.73459,0.82024,0.95964,0.89393,0.000258718,0.000258718,0.000258718
130,1392.17,1.02858,1.01177,1.01454,0.99074,0.99745,0.995,0.73832,0.80505,0.96162,0.89202,0.000247716,0.000247716,0.000247716
131,1401.74,0.93738,0.89263,0.98917,0.99074,0.99745,0.995,0.73832,0.80505,0.96162,0.89202,0.000236714,0.000236714,0.000236714
132,1411.43,0.91051,0.95175,0.88147,0.9892,0.99814,0.995,0.73866,0.80545,0.95728,0.89148,0.000225712,0.000225712,0.000225712
133,1421.05,0.96973,0.9661,0.98362,0.9892,0.99814,0.995,0.73866,0.80545,0.95728,0.89148,0.00021471,0.00021471,0.00021471
134,1430.85,0.89616,0.97607,0.95923,0.98854,0.99846,0.995,0.73875,0.81383,0.95463,0.89321,0.000203707,0.000203707,0.000203707
135,1440.44,0.91467,0.90202,0.89974,0.98854,0.99846,0.995,0.73875,0.81383,0.95463,0.89321,0.000192705,0.000192705,0.000192705
136,1450.27,0.89211,0.96257,0.90285,0.98948,0.99965,0.995,0.729,0.82132,0.95366,0.8961,0.000181703,0.000181703,0.000181703
137,1460.12,0.91974,1.01348,0.92836,0.98948,0.99965,0.995,0.729,0.82132,0.95366,0.8961,0.000170701,0.000170701,0.000170701
138,1469.92,0.94436,0.87882,1.01843,0.99266,1,0.995,0.72583,0.82802,0.94977,0.89795,0.000159699,0.000159699,0.000159699
139,1479.53,0.86548,0.92679,0.97174,0.99266,1,0.995,0.72583,0.82802,0.94977,0.89795,0.000148696,0.000148696,0.000148696
140,1489.23,0.88512,0.88264,0.97375,0.99406,1,0.995,0.73186,0.82832,0.94738,0.89824,0.000137694,0.000137694,0.000137694
141,1498.67,0.82681,0.91048,0.95531,0.99406,1,0.995,0.73186,0.82832,0.94738,0.89824,0.000126692,0.000126692,0.000126692
142,1508.41,1.04157,1.13342,0.90482,0.99564,1,0.995,0.73085,0.82752,0.94313,0.89724,0.00011569,0.00011569,0.00011569
143,1518.36,0.83179,0.92935,0.92716,0.99564,1,0.995,0.73085,0.82752,0.94313,0.89724,0.000104688,0.000104688,0.000104688
144,1527.84,0.75736,0.89112,0.90725,0.99657,1,0.995,0.73046,0.82509,0.9431,0.89585,9.36854e-05,9.36854e-05,9.36854e-05
145,1537.08,0.82773,0.9238,0.91325,0.99657,1,0.995,0.73046,0.82509,0.9431,0.89585,8.26832e-05,8.26832e-05,8.26832e-05
146,1546.82,0.88667,0.94211,0.94796,0.99715,1,0.995,0.73326,0.81651,0.93856,0.89407,7.1681e-05,7.1681e-05,7.1681e-05
147,1556.24,0.88167,0.85546,0.92722,0.99715,1,0.995,0.73326,0.81651,0.93856,0.89407,6.06788e-05,6.06788e-05,6.06788e-05
148,1565.93,0.82386,0.87299,0.9366,0.99749,1,0.995,0.7299,0.81007,0.93281,0.89271,4.96766e-05,4.96766e-05,4.96766e-05
149,1575.67,0.89124,0.92966,0.96216,0.99749,1,0.995,0.7299,0.81007,0.93281,0.89271,3.86744e-05,3.86744e-05,3.86744e-05
150,1585.41,0.82852,0.92156,0.93311,0.99751,1,0.995,0.73337,0.80366,0.92773,0.89154,2.76722e-05,2.76722e-05,2.76722e-05
